NEWID,Income Class,Education,Division,Family Type,Area Type,QINTRVMO,QINTRVYR,AGE_REF,AGE2,SEX_REF,SEX2,REF_RACE,RACE2,NUM_AUTO,NUM_TVAN,OCCUCOD1,OCCUCOD2,MARITAL1,REGION,POPSIZE,CUTENURE,VEHQ,VEHQL,FINCBTXM,INC_RANK,FAM_SIZE,CHILDAGE,PERSLT18,PERSOT64,AS_COMP1,AS_COMP2,AS_COMP3,AS_COMP4,AS_COMP5,FOODCQ,FDAWAYCQ,ALCBEVCQ,RENDWECQ,ALLFULCQ,BBYDAYCQ,TEXTILCQ,FURNTRCQ,APPARCQ,MENBOYCQ,MENSIXCQ,BOYFIFCQ,GRLFIFCQ,CHLDRNCQ,FOOTWRCQ,OTHAPLCQ,TRANSCQ,CARTKNCQ,CARTKUCQ,GASMOCQ,PUBTRACQ,ENTERTCQ,PETTOYCQ,PERSCACQ,READCQ,TOTEXPCQ
4237404,4,10,9,1,1,June,2020,66,66,2,1,1,1,0,2,,12,1,4,1,1,2,0,65495,0.5983412,2,0,0,2,1,1,0,0,0,780,346.6667,40,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,40,0,141,0,0,0,4381.6667
4238414,2,10,7,8,1,June,2020,87,,1,,1,,0,1,,,2,3,5,2,1,0,18019,0.2324722,1,0,0,1,1,0,0,0,0,508.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,0,0,0,2181
4238484,4,10,8,5,1,June,2020,62,59,2,1,1,1,1,1,10,13,1,4,4,2,2,0,93490.8,0.6116166,3,0,1,0,1,1,1,0,0,866.6667,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,200,0,0,200,0,126,0,0,0,3760.0666
4240624,4,10,9,1,1,June,2020,50,50,1,2,4,4,1,0,10,5,1,4,3,2,1,0,72750.2,0.6223687,2,0,0,0,1,1,0,0,0,1213.3333,173.3333,200,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,14,0,0,0,0,0,6146.8
4242634,3,10,9,9,1,June,2020,50,,2,,4,,0,0,10,,5,4,3,4,0,0,44870,0.4729989,2,0,0,1,0,2,0,0,0,910,0,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3342.4999
4244934,4,10,1,9,1,June,2020,50,,2,,1,,0,0,10,,1,1,2,4,0,0,54938.4,0.5333369,3,7,0,0,0,3,0,0,0,2426.6667,866.6667,0,3408,0,0,0,0,160,0,0,0,0,0,0,160,43.3333,0,0,0,43.3333,200,200,0,0,7668.5666
4245124,4,10,9,3,1,June,2020,46,43,1,2,1,1,0,2,10,,1,4,1,4,2,0,50000,0.5070273,5,4,3,0,2,1,1,1,0,2166.6667,693.3333,0,2022,0,0,0,0,213.3333,60,60,0,0,0,40,113.3333,522.6667,0,0,338.6667,0,30,0,21.3333,0,6276.1667
4245134,4,10,,3,2,June,2020,33,27,1,2,1,1,1,3,12,,1,2,5,1,4,0,113279,0.5704833,6,2,4,0,1,1,1,3,0,1066,199.3333,0,0,0,0,270,513,76,0,0,0,0,22,54,0,1476,0,0,1200,0,108,0,0,0,11653.791
4267443,1,10,7,8,1,April,2020,55,,2,,1,,0,1,6,,2,3,1,4,1,0,1046,0.0934023,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4267523,2,10,1,8,1,April,2020,64,,1,,1,,1,0,,,4,1,2,4,1,0,12888,0.1856543,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
